,index,order_id,order_date,delivered_date,customer_id,customer_name,customer_age,customer_gender,customer_segment,region,state,city,product_id,product_name,category,sub_category,brand,unit_price,quantity,discount_percentage,discount_amount,sales_amount,profit_margin,profit_amount,tax_rate,tax_amount,shipping_cost,shipping_method,total_amount,payment_method,delivery_time_days,order_status,rating,is_repeat_customer,order_year,order_month,order_quarter,order_day_of_week
211,211,ORD100495,2020-11-30,2020-12-07,CUST10221,Aditya Chopra,38,Female,Consumer,East,West Bengal,Durgapur,PROD9824,Puma Accessories,Clothing,Accessories,Puma,4218.25,1,5,210.91,4007.34,0.318,1274.46,0.12,480.88,73.59,Standard,4561.81,UPI,7,Delivered,4.5,No,2020,11,Q4,Monday
212,212,ORD100733,2020-12-02,2020-12-05,CUST10217,Divya Gupta,31,Male,Corporate,North,Uttar Pradesh,Kanpur,PROD4340,Apple Smartphones,Electronics,Smartphones,Apple,1726.66,1,25,431.66,1294.99,0.0626,81.11,0.18,233.1,78.03,Standard,1606.12,Net Banking,3,Delivered,3.5,No,2020,12,Q4,Wednesday
213,213,ORD100078,2020-12-02,2020-12-06,CUST10160,Neha Banerjee,30,Female,Consumer,West,Maharashtra,Nagpur,PROD6051,H&M Jeans,Clothing,Jeans,H&M,2637.73,4,0,0.0,10550.9,0.4211,4443.4,0.12,1266.11,117.52,Standard,11934.53,UPI,4,Delivered,4.0,Yes,2020,12,Q4,Wednesday
214,214,ORD100224,2020-12-06,2020-12-10,CUST10082,Anjali Kulkarni,48,Male,Consumer,Central,Chhattisgarh,Raipur,PROD3641,Pepperfry Chairs,Furniture,Chairs,Pepperfry,26318.71,1,5,1315.94,25002.77,0.1854,4635.96,0.12,3000.33,0.0,Standard,28003.11,EMI,4,Delivered,5.0,No,2020,12,Q4,Sunday
215,215,ORD100604,2020-12-07,2020-12-10,CUST10257,Vikram Kumar,56,Female,Corporate,West,Maharashtra,Mumbai,PROD7021,IKEA Sofa Sets,Furniture,Sofa Sets,IKEA,72829.84,1,40,29131.94,43697.91,0.1355,5923.04,0.12,5243.75,0.0,Standard,48941.65,Credit Card,3,Delivered,3.0,No,2020,12,Q4,Monday
216,216,ORD100438,2020-12-07,2020-12-15,CUST10134,Sneha Nair,32,Female,Home Office,Central,Chhattisgarh,Raipur,PROD1392,Nilkamal Sofa Sets,Furniture,Sofa Sets,Nilkamal,61133.59,8,5,24453.43,464615.25,0.2698,125364.49,0.12,55753.83,0.0,Economy,520369.08,Cash on Delivery,8,Delivered,4.5,Yes,2020,12,Q4,Monday
217,217,ORD100288,2020-12-08,2020-12-12,CUST10000,Sneha Sharma,39,Male,Consumer,North,Rajasthan,Udaipur,PROD6757,Oxford Academic,Books,Academic,Oxford,1294.17,1,20,258.83,1035.34,0.3138,324.84,0.12,124.24,98.75,Standard,1258.33,Net Banking,4,Delivered,5.0,No,2020,12,Q4,Tuesday
218,218,ORD100783,2020-12-08,,CUST10061,Kavita Verma,60,Male,Consumer,North,Punjab,Ludhiana,PROD5601,Penguin Comics,Books,Comics,Penguin,612.84,1,30,183.85,428.99,0.3141,134.74,0.12,51.48,233.38,Express,713.84,EMI,2,Shipped,,No,2020,12,Q4,Tuesday
219,219,ORD100630,2020-12-10,,CUST10291,Pooja Patel,40,Female,Consumer,North,Delhi,New Delhi,PROD3774,Pepperfry Chairs,Furniture,Chairs,Pepperfry,64815.35,4,25,64815.35,194446.05,0.1565,30425.51,0.12,23333.53,0.0,Standard,217779.57,Cash on Delivery,7,Shipped,,No,2020,12,Q4,Thursday
220,220,ORD100768,2020-12-10,2020-12-11,CUST10087,Rohan Gupta,43,Female,Corporate,North,Punjab,Ludhiana,PROD9009,Sony Headphones,Electronics,Headphones,Sony,2250.53,3,20,1350.32,5401.28,0.0643,347.24,0.18,972.23,131.72,Express,6505.22,Credit Card,1,Delivered,4.5,Yes,2020,12,Q4,Thursday
221,221,ORD100928,2020-12-11,2020-12-12,CUST10112,Arjun Nair,55,Female,Home Office,West,Gujarat,Surat,PROD3756,H&M T-Shirts,Clothing,T-Shirts,H&M,1562.71,1,25,390.68,1172.03,0.3146,368.68,0.12,140.64,138.33,Express,1451.0,Cash on Delivery,1,Delivered,3.0,No,2020,12,Q4,Friday
222,222,ORD100105,2020-12-12,2020-12-16,CUST10063,Rohan Chopra,42,Male,Consumer,East,West Bengal,Durgapur,PROD1796,Philips Dinnerware,Kitchen,Dinnerware,Philips,7882.44,1,0,0.0,7882.44,0.2587,2039.15,0.18,1418.84,52.74,Standard,9354.02,Credit Card,4,Delivered,4.5,No,2020,12,Q4,Saturday
223,223,ORD100509,2020-12-13,,CUST10080,Kavita Chopra,28,Female,Home Office,North,Delhi,New Delhi,PROD2086,Nilkamal Sofa Sets,Furniture,Sofa Sets,Nilkamal,16655.62,2,30,9993.37,23317.86,0.1979,4614.97,0.12,2798.14,190.49,Express,26306.5,UPI,2,Shipped,,No,2020,12,Q4,Sunday
224,224,ORD100150,2020-12-15,2020-12-22,CUST10182,Arjun Verma,24,Male,Home Office,East,Assam,Dibrugarh,PROD8288,Local Publishers Academic,Books,Academic,Local Publishers,374.65,5,20,374.65,1498.6,0.3509,525.86,0.12,179.83,122.38,Standard,1800.81,Cash on Delivery,7,Delivered,3.5,No,2020,12,Q4,Tuesday
225,225,ORD100496,2020-12-17,2020-12-18,CUST10080,Kavita Chopra,28,Female,Home Office,Central,Madhya Pradesh,Indore,PROD7830,Local Publishers Comics,Books,Comics,Local Publishers,1212.68,1,25,303.17,909.51,0.3156,287.04,0.12,109.14,216.74,Same Day,1235.4,Net Banking,1,Delivered,3.5,No,2020,12,Q4,Thursday
226,226,ORD100411,2020-12-20,2020-12-23,CUST10165,Vikram Nair,58,Female,Corporate,Central,Madhya Pradesh,Gwalior,PROD7820,Pepperfry Beds,Furniture,Beds,Pepperfry,50679.85,1,0,0.0,50679.85,0.248,12568.59,0.12,6081.58,0.0,Express,56761.43,Net Banking,3,Delivered,5.0,Yes,2020,12,Q4,Sunday
227,227,ORD100321,2020-12-21,,CUST10104,Rahul Malhotra,48,Male,Home Office,South,Karnataka,Mysore,PROD3689,Milton Storage,Kitchen,Storage,Milton,9492.09,1,5,474.6,9017.48,0.1732,1562.26,0.18,1623.15,89.31,Standard,10729.94,Net Banking,3,Cancelled,,No,2020,12,Q4,Monday
228,228,ORD100372,2020-12-21,2020-12-25,CUST10257,Vikram Kumar,56,Female,Corporate,South,Karnataka,Mysore,PROD5227,Hometown Mirrors,Home Decor,Mirrors,Hometown,9230.93,2,15,2769.28,15692.58,0.224,3515.42,0.12,1883.11,147.04,Standard,17722.73,Credit Card,4,Delivered,3.5,No,2020,12,Q4,Monday
229,229,ORD100734,2020-12-24,2020-12-29,CUST10158,Divya Kumar,41,Male,Consumer,South,Karnataka,Mangalore,PROD9248,HarperCollins Cooking,Books,Cooking,HarperCollins,620.59,1,20,124.12,496.47,0.3976,197.39,0.12,59.58,43.46,Standard,599.51,Debit Card,5,Delivered,3.5,No,2020,12,Q4,Thursday
230,230,ORD100350,2020-12-24,2020-12-25,CUST10038,Rohan Banerjee,41,Female,Corporate,East,Bihar,Gaya,PROD7211,HP Smartwatches,Electronics,Smartwatches,HP,759.31,6,10,455.58,4100.26,0.0878,359.92,0.18,738.05,208.01,Same Day,5046.32,Credit Card,1,Delivered,4.0,No,2020,12,Q4,Thursday
231,231,ORD100362,2020-12-27,2020-12-31,CUST10008,Divya Joshi,44,Female,Corporate,Central,Madhya Pradesh,Gwalior,PROD5216,Tupperware Containers,Kitchen,Containers,Tupperware,11361.32,2,20,4544.53,18178.12,0.205,3725.64,0.18,3272.06,69.57,Standard,21519.75,Credit Card,4,Delivered,4.0,Yes,2020,12,Q4,Sunday
232,232,ORD100458,2020-12-31,2021-01-07,CUST10052,Amit Patel,37,Male,Home Office,South,Kerala,Trivandrum,PROD5542,Local Publishers Self-Help,Books,Self-Help,Local Publishers,1455.66,3,20,873.39,3493.58,0.3891,1359.38,0.12,419.23,40.29,Standard,3953.1,Wallet,7,Delivered,2.5,No,2020,12,Q4,Thursday
233,233,ORD100441,2020-12-31,,CUST10073,Arjun Desai,53,Female,Corporate,North,Uttar Pradesh,Noida,PROD6150,Local Publishers Academic,Books,Academic,Local Publishers,328.31,1,0,0.0,328.31,0.3911,128.39,0.12,39.4,137.39,Standard,505.09,Net Banking,3,Processing,,Yes,2020,12,Q4,Thursday
234,234,ORD100809,2021-01-06,2021-01-09,CUST10229,Meera Joshi,40,Male,Corporate,East,Bihar,Patna,PROD3511,IKEA Dining Tables,Furniture,Dining Tables,IKEA,56017.85,1,0,0.0,56017.85,0.1961,10986.95,0.12,6722.14,0.0,Standard,62740.0,Credit Card,3,Delivered,5.0,No,2021,1,Q1,Wednesday
235,235,ORD100813,2021-01-09,2021-01-12,CUST10135,Amit Kulkarni,41,Female,Consumer,North,Rajasthan,Udaipur,PROD9795,Hawkins Cutlery,Kitchen,Cutlery,Hawkins,11391.2,2,20,4556.48,18225.93,0.1688,3076.4,0.18,3280.67,95.64,Standard,21602.23,EMI,3,Delivered,4.0,No,2021,1,Q1,Saturday
236,236,ORD100312,2021-01-10,,CUST10291,Pooja Patel,40,Female,Consumer,North,Rajasthan,Jodhpur,PROD5485,Samsung Smartphones,Electronics,Smartphones,Samsung,2681.9,2,15,804.57,4559.23,0.0465,211.87,0.18,820.66,236.31,Express,5616.2,Wallet,1,Returned,,No,2021,1,Q1,Sunday
237,237,ORD100360,2021-01-11,,CUST10292,Neha Sharma,36,Female,Corporate,South,Karnataka,Mangalore,PROD5971,WestSide Lamps,Home Decor,Lamps,WestSide,8597.51,1,5,429.88,8167.64,0.207,1690.47,0.12,980.12,98.69,Standard,9246.45,Credit Card,5,Processing,,No,2021,1,Q1,Monday
238,238,ORD100795,2021-01-13,2021-01-14,CUST10000,Sneha S.,39,Male,Consumer,South,Karnataka,Mysore,PROD1244,Pepperfry Wardrobes,Furniture,Wardrobes,Pepperfry,13476.29,4,10,5390.52,48514.64,0.1767,8571.72,0.12,5821.76,0.0,Express,54336.4,Cash on Delivery,1,Delivered,5.0,No,2021,1,Q1,Wednesday
239,239,ORD100855,2021-01-15,2021-01-24,CUST10182,Arjun Verma,24,Male,Home Office,East,West Bengal,Kolkata,PROD7437,FabIndia Curtains,Home Decor,Curtains,FabIndia,9585.93,2,15,2875.78,16296.08,0.2769,4512.15,0.12,1955.53,37.92,Economy,18289.53,Net Banking,9,Delivered,5.0,No,2021,1,Q1,Friday
240,240,ORD100513,2021-01-16,2021-01-21,CUST10249,Priya Banerjee,45,Male,Home Office,Central,Chhattisgarh,Raipur,PROD5306,Philips Dinnerware,Kitchen,Dinnerware,Philips,1194.28,1,15,179.14,1015.14,0.2341,237.65,0.18,182.73,64.98,Standard,1262.85,Net Banking,5,Delivered,4.0,No,2021,1,Q1,Saturday
241,241,ORD100401,2021-01-19,2021-01-22,CUST10249,Priya Banerjee,45,Male,Home Office,North,Punjab,Chandigarh,PROD6134,Local Publishers Self-Help,Books,Self-Help,Local Publishers,1187.63,1,10,118.76,1068.87,0.3358,358.92,0.12,128.26,132.82,Express,1329.95,Debit Card,3,Delivered,5.0,No,2021,1,Q1,Tuesday
242,242,ORD100307,2021-01-19,2021-01-25,CUST10219,Anjali Patel,61,Female,Corporate,West,Maharashtra,Pune,PROD7139,HomeCenter Lamps,Home Decor,Lamps,HomeCenter,1819.03,4,5,363.81,6912.3,0.2951,2040.08,0.12,829.48,112.47,Standard,7854.25,Credit Card,6,Delivered,4.5,No,2021,1,Q1,Tuesday
243,243,ORD100785,2021-01-20,2021-01-27,CUST10001,Vikram Banerjee,28,Male,Home Office,North,Punjab,Chandigarh,PROD3498,Milton Cookware,Kitchen,Cookware,Milton,10651.26,5,0,0.0,53256.3,0.2706,14410.32,0.18,9586.13,0.0,Standard,62842.43,Credit Card,7,Delivered,3.0,No,2021,1,Q1,Wednesday
244,244,ORD100334,2021-01-20,2021-01-27,CUST10059,Rahul Joshi,33,Male,Consumer,Central,Chhattisgarh,Raipur,PROD1027,Levis Jackets,Clothing,Jackets,Levis,1966.52,2,0,0.0,3933.03,0.3582,1408.9,0.12,471.96,124.84,Standard,4529.83,Credit Card,7,Delivered,3.5,No,2021,1,Q1,Wednesday
245,245,ORD100948,2021-01-22,,CUST10176,Vikram Kulkarni,39,Male,Corporate,West,Goa,Panaji,PROD9981,Local Publishers Cooking,Books,Cooking,Local Publishers,521.33,1,10,52.13,469.2,0.3795,178.04,0.12,56.3,60.55,Economy,586.05,Credit Card,7,Processing,,Yes,2021,1,Q1,Friday
246,246,ORD100552,2021-01-28,,CUST10262,Divya Desai,59,Male,Consumer,East,West Bengal,Durgapur,PROD4912,Nike Jeans,Clothing,Jeans,Nike,3681.27,1,30,1104.38,2576.89,0.2454,632.47,0.12,309.23,149.46,Standard,3035.57,Cash on Delivery,3,Delivered,5.0,No,2021,1,Q1,Thursday
247,247,ORD100641,2021-01-29,2021-02-01,CUST10080,Kavita Chopra,28,Female,Home Office,South,Karnataka,Mangalore,PROD4238,Pepperfry Dining Tables,Furniture,Dining Tables,Pepperfry,18212.37,2,15,5463.71,30961.03,0.176,5449.57,0.12,3715.32,0.0,Standard,34676.35,UPI,3,Delivered,5.0,No,2021,1,Q1,Friday
248,248,ORD100032,2021-01-30,2021-02-04,CUST10089,Karan Sharma,29,Female,Consumer,Central,Chhattisgarh,Bilaspur,PROD7567,Penguin Academic,Books,Academic,Penguin,1069.03,1,0,0.0,1069.03,0.3985,426.05,0.12,128.28,68.69,Standard,1266.0,UPI,5,Delivered,4.5,No,2021,1,Q1,Saturday
249,249,ORD100517,2021-01-31,2021-02-01,CUST10179,Meera Malhotra,27,Male,Consumer,North,Uttar Pradesh,Noida,PROD3487,UrbanLadder Wardrobes,Furniture,Wardrobes,UrbanLadder,23848.99,1,5,1192.45,22656.54,0.2083,4720.07,0.12,2718.79,178.64,Express,25553.97,Credit Card,1,Delivered,4.0,No,2021,1,Q1,Sunday
250,250,ORD100183,2021-01-31,2021-02-07,CUST10012,Kavita Nair,40,Male,Corporate,West,Goa,Panaji,PROD7793,Philips Appliances,Kitchen,Appliances,Philips,5615.92,1,10,561.59,5054.33,0.2096,1059.33,0.18,909.78,62.13,Standard,6026.24,Credit Card,7,Delivered,5.0,No,2021,1,Q1,Sunday
251,251,ORD100972,2021-02-02,,CUST10165,Vikram Nair,58,Female,Corporate,Central,Chhattisgarh,Bilaspur,PROD8536,Philips Containers,Kitchen,Containers,Philips,5388.45,6,5,1616.53,30714.16,0.2004,6154.67,0.18,5528.55,0.0,Express,36242.71,Credit Card,1,Returned,,Yes,2021,2,Q1,Tuesday
252,252,ORD100664,2021-02-02,2021-02-05,CUST10089,Karan Sharma,29,Female,Consumer,South,Karnataka,Bangalore,PROD8043,Pepperfry Beds,Furniture,Beds,Pepperfry,39124.34,2,25,19562.17,58686.51,0.1717,10076.69,0.12,7042.38,0.0,Express,65728.89,Credit Card,3,Delivered,3.5,No,2021,2,Q1,Tuesday
253,253,ORD100493,2021-02-06,2021-02-13,CUST10244,Pooja Patel,30,Male,Consumer,North,Rajasthan,Jaipur,PROD9886,HomeCenter Cushions,Home Decor,Cushions,HomeCenter,6098.07,2,5,609.81,11586.33,0.1914,2217.26,0.12,1390.36,139.55,Standard,13116.24,Net Banking,7,Delivered,4.5,Yes,2021,2,Q1,Saturday
254,254,ORD100711,2021-02-06,2021-02-10,CUST10289,Pooja Malhotra,60,Female,Consumer,West,Maharashtra,Pune,PROD8320,Scholastic Self-Help,Books,Self-Help,Scholastic,752.68,2,5,75.27,1430.09,0.3367,481.56,0.12,171.61,40.6,Standard,1642.31,Wallet,4,Delivered,,No,2021,2,Q1,Saturday
255,255,ORD100147,2021-02-11,2021-02-16,CUST10295,Sneha Sharma,53,Female,Consumer,Central,Madhya Pradesh,Indore,PROD9363,Puma Dresses,Clothing,Dresses,Puma,2743.97,3,30,2469.58,5762.34,0.25,1440.66,0.12,691.48,109.49,Standard,6563.31,Net Banking,5,Delivered,4.0,No,2021,2,Q1,Thursday
256,256,ORD100030,2021-02-12,2021-02-18,CUST10147,Rohan Iyer,38,Female,Consumer,East,Odisha,Bhubaneswar,PROD4804,Sony Cameras,Electronics,Cameras,Sony,1743.91,3,25,1307.93,3923.8,0.0854,335.27,0.18,706.28,137.05,Standard,4767.13,EMI,6,Delivered,3.0,No,2021,2,Q1,Friday
257,257,ORD100216,2021-02-18,2021-02-22,CUST10171,Kavita Kumar,57,Male,Consumer,South,Karnataka,Mangalore,PROD3236,Scholastic Fiction,Books,Fiction,Scholastic,343.44,2,10,68.69,618.2,0.4176,258.19,0.12,74.18,72.47,Standard,764.85,Debit Card,4,Delivered,4.5,Yes,2021,2,Q1,Thursday
258,258,ORD100451,2021-02-19,2021-02-26,CUST10295,Sneha Sharma,53,Female,Consumer,West,Gujarat,Surat,PROD7657,FabIndia Wall Art,Home Decor,Wall Art,FabIndia,5828.46,2,25,2914.23,8742.7,0.21,1835.84,0.12,1049.12,41.89,Standard,9833.71,Cash on Delivery,7,Delivered,3.5,No,2021,2,Q1,Friday
259,259,ORD100575,2021-02-19,2021-02-22,CUST10136,Rohan Patel,59,Male,Consumer,North,Punjab,Chandigarh,PROD1031,Nilkamal Chairs,Furniture,Chairs,Nilkamal,84679.48,1,10,8467.95,76211.54,0.2546,19400.09,0.12,9145.38,0.0,Express,85356.92,Wallet,3,Delivered,4.0,Yes,2021,2,Q1,Friday
260,260,ORD100660,2021-02-20,2021-02-28,CUST10184,Pooja Chopra,53,Male,Consumer,West,Gujarat,Vadodara,PROD3523,HP Laptops,Electronics,Laptops,HP,2148.25,1,25,537.06,1611.19,0.0487,78.42,0.18,290.01,32.6,Economy,1933.81,Cash on Delivery,8,Delivered,3.0,No,2021,2,Q1,Saturday
261,261,ORD100827,2021-02-21,2021-02-22,CUST10109,Aditya Chopra,55,Female,Consumer,West,Gujarat,Vadodara,PROD2868,Dell Headphones,Electronics,Headphones,Dell,2683.84,6,25,4025.75,12077.26,0.0769,928.47,0.18,2173.91,168.23,Express,14419.4,Debit Card,1,Delivered,2.0,No,2021,2,Q1,Sunday
262,262,ORD100595,2021-02-23,2021-02-26,CUST10020,Meera Gupta,63,Female,Corporate,Central,Madhya Pradesh,Bhopal,PROD5541,Sony Tablets,Electronics,Tablets,Sony,1066.31,1,0,0.0,1066.31,0.0923,98.37,0.18,191.94,153.03,Express,1411.28,Net Banking,3,Delivered,3.0,Yes,2021,2,Q1,Tuesday
263,263,ORD100310,2021-02-26,2021-03-02,CUST10105,Meera Gupta,37,Male,Consumer,East,Assam,Dibrugarh,PROD6084,IKEA Study Tables,Furniture,Study Tables,IKEA,53236.88,2,15,15971.06,90502.7,0.1811,16389.58,0.12,10860.32,0.0,Standard,101363.02,Cash on Delivery,4,Delivered,5.0,No,2021,2,Q1,Friday
264,264,ORD100505,2021-03-03,2021-03-06,CUST10194,Kavita Banerjee,32,Female,Consumer,North,Rajasthan,Udaipur,PROD7234,FabIndia Cushions,Home Decor,Cushions,FabIndia,6106.06,1,30,1831.82,4274.24,0.1932,825.8,0.12,512.91,124.43,Express,4911.59,UPI,3,Delivered,4.0,No,2021,3,Q1,Wednesday
265,265,ORD100908,2021-03-03,2021-03-06,CUST10094,Karan Verma,42,Male,Corporate,West,Gujarat,Ahmedabad,PROD4667,H&M Dresses,Clothing,Dresses,H&M,4351.37,4,10,1740.55,15664.93,0.346,5420.57,0.12,1879.79,136.25,Express,17680.98,EMI,3,Delivered,4.5,No,2021,3,Q1,Wednesday
266,266,ORD100562,2021-03-04,2021-03-05,CUST10167,Kavita Nair,55,Female,Consumer,South,Telangana,Warangal,PROD6424,Zara Shoes,Clothing,Shoes,Zara,3671.65,5,30,5507.48,12850.78,0.2921,3753.29,0.12,1542.09,206.22,Express,14599.08,Credit Card,1,Delivered,3.5,No,2021,3,Q1,Thursday
267,267,ORD100338,2021-03-05,,CUST10111,Meera Malhotra,38,Male,Consumer,South,Karnataka,Mysore,PROD3418,Prestige Cutlery,Kitchen,Cutlery,Prestige,5143.6,8,15,6172.32,34976.5,0.1461,5109.67,0.18,6295.77,0.0,Standard,41272.27,Credit Card,5,Cancelled,,No,2021,3,Q1,Friday
268,268,ORD100068,2021-03-12,2021-03-16,CUST10077,Rahul Kulkarni,31,Male,Consumer,West,Goa,Margao,PROD3293,UrbanLadder Sofa Sets,Furniture,Sofa Sets,UrbanLadder,65938.31,2,5,6593.83,125282.8,0.2808,35180.71,0.12,15033.94,0.0,Standard,140316.73,Debit Card,4,Delivered,4.5,No,2021,3,Q1,Friday
269,269,ORD100597,2021-03-13,,CUST10041,Kavita Verma,36,Male,Consumer,West,Goa,Margao,PROD7228,Hometown Cushions,Home Decor,Cushions,Hometown,717.75,3,0,0.0,2153.26,0.301,648.12,0.12,258.39,136.27,Standard,2547.91,Cash on Delivery,6,Shipped,,Yes,2021,3,Q1,Saturday
270,270,ORD100029,2021-03-14,,CUST10275,Vikram Desai,25,Female,Consumer,East,Odisha,Bhubaneswar,PROD4920,LG Headphones,Electronics,Headphones,LG,953.64,3,10,286.09,2574.82,0.0852,219.35,0.18,463.47,85.46,Standard,3123.75,Net Banking,3,Cancelled,,No,2021,3,Q1,Sunday
271,271,ORD100016,2021-03-15,2021-03-16,CUST10146,Amit Malhotra,42,Male,Corporate,West,Maharashtra,Mumbai,PROD3828,Nilkamal Sofa Sets,Furniture,Sofa Sets,Nilkamal,77198.29,2,0,0.0,154396.57,0.2618,40425.89,0.12,18527.59,0.0,Same Day,172924.16,Credit Card,1,Delivered,5.0,No,2021,3,Q1,Monday
272,272,ORD100529,2021-03-16,2021-03-23,CUST10231,Arjun Chopra,64,Male,Consumer,East,Odisha,Cuttack,PROD7670,IKEA Study Tables,Furniture,Study Tables,IKEA,19105.95,2,15,5731.78,32480.11,0.1851,6011.25,0.12,3897.61,0.0,Standard,36377.72,Cash on Delivery,7,Delivered,5.0,No,2021,3,Q1,Tuesday
273,273,ORD100384,2021-03-18,2021-03-23,CUST10097,Rajesh Chopra,33,Female,Consumer,Central,Madhya Pradesh,Indore,PROD6029,Zara T-Shirts,Clothing,T-Shirts,Zara,2808.17,4,15,1684.9,9547.79,0.3377,3224.64,0.12,1145.74,85.14,Standard,10778.67,Net Banking,5,Delivered,4.0,No,2021,3,Q1,Thursday
274,274,ORD100803,2021-03-23,2021-03-29,CUST10294,Vikram Nair,38,Female,Consumer,Central,Chhattisgarh,Raipur,PROD1130,UrbanLadder Dining Tables,Furniture,Dining Tables,UrbanLadder,84823.39,3,10,25447.02,229023.15,0.1686,38615.6,0.12,27482.78,0.0,Standard,256505.93,UPI,6,Delivered,4.5,No,2021,3,Q1,Tuesday
275,275,ORD100810,2021-03-25,,CUST10209,Aditya Sharma,31,Female,Consumer,West,Gujarat,Ahmedabad,PROD8008,Prestige Containers,Kitchen,Containers,Prestige,10268.75,1,20,2053.75,8215.0,0.1655,1359.62,0.18,1478.7,125.35,Standard,9819.05,Credit Card,4,Shipped,,No,2021,3,Q1,Thursday
276,276,ORD100993,2021-03-26,,CUST10219,Anjali Patel,61,Female,Corporate,North,Punjab,Ludhiana,PROD5586,Local Publishers Comics,Books,Comics,Local Publishers,414.47,2,10,82.89,746.05,0.4403,328.48,0.12,89.53,133.42,Standard,969.0,Credit Card,4,Shipped,,No,2021,3,Q1,Friday
277,277,ORD100821,2021-04-04,2021-04-07,CUST10080,Kavita Chopra,28,Female,Home Office,North,Delhi,Delhi,PROD2249,Pepperfry Sofa Sets,Furniture,Sofa Sets,Pepperfry,36652.72,1,15,5497.91,31154.81,0.2431,7574.06,0.12,3738.58,0.0,Express,34893.39,Net Banking,3,Delivered,4.5,No,2021,4,Q2,Sunday
278,278,ORD100778,2021-04-05,,CUST10125,Pooja Kumar,51,Male,Consumer,East,Bihar,Patna,PROD2289,Prestige Appliances,Kitchen,Appliances,Prestige,9299.71,1,15,1394.96,7904.76,0.1827,1444.16,0.18,1422.86,147.82,Standard,9475.43,Cash on Delivery,6,Processing,,Yes,2021,4,Q2,Monday
279,279,ORD100026,2021-04-11,2021-04-17,CUST10026,Rahul Gupta,46,Female,Consumer,Central,Chhattisgarh,Raipur,PROD7229,Local Publishers Cooking,Books,Cooking,Local Publishers,391.11,3,0,0.0,1173.33,0.4922,577.55,0.12,140.8,42.08,Standard,1356.21,Net Banking,6,Delivered,4.5,No,2021,4,Q2,Sunday
280,280,ORD100095,2021-04-11,2021-04-14,CUST10226,Kavita Gupta,58,Female,Home Office,East,Odisha,Cuttack,PROD4079,Penguin Cooking,Books,Cooking,Penguin,773.23,5,10,386.62,3479.54,0.3804,1323.63,0.12,417.55,108.43,Express,4005.52,Wallet,3,Delivered,3.5,No,2021,4,Q2,Sunday
281,281,ORD100492,2021-04-12,2021-04-18,CUST10233,Aditya Sharma,59,Female,Consumer,South,Karnataka,Mangalore,PROD2496,Zara Shoes,Clothing,Shoes,Zara,3868.69,3,25,2901.51,8704.54,0.3269,2845.87,0.12,1044.55,73.3,Standard,9822.39,Wallet,6,Delivered,4.0,Yes,2021,4,Q2,Monday
282,282,ORD100449,2021-04-14,2021-04-18,CUST10082,Anjali Kulkarni,48,Male,Consumer,East,Odisha,Cuttack,PROD1223,Pepperfry Study Tables,Furniture,Study Tables,Pepperfry,10777.77,1,25,2694.44,8083.33,0.1442,1165.83,0.12,970.0,93.34,Standard,9146.67,Wallet,4,Delivered,4.0,Yes,2021,4,Q2,Wednesday
283,283,ORD100223,2021-04-20,2021-04-26,CUST10266,Karan Verma,31,Male,Corporate,East,Assam,Dibrugarh,PROD8965,Milton Containers,Kitchen,Containers,Milton,7875.3,3,20,4725.18,18900.72,0.1663,3143.32,0.18,3402.13,54.51,Standard,22357.37,Net Banking,6,Delivered,3.0,Yes,2021,4,Q2,Tuesday
284,284,ORD100671,2021-04-20,2021-04-26,CUST10067,Arjun Kumar,44,Male,Corporate,East,Odisha,Bhubaneswar,PROD2781,Nilkamal Beds,Furniture,Beds,Nilkamal,43973.84,5,10,21986.92,197882.3,0.1841,36436.27,0.12,23745.88,0.0,Economy,221628.18,Credit Card,6,Delivered,3.5,No,2021,4,Q2,Tuesday
285,285,ORD100527,2021-04-25,2021-04-28,CUST10182,Arjun Verma,24,Male,Home Office,North,Uttar Pradesh,Noida,PROD3109,Philips Appliances,Kitchen,Appliances,Philips,1616.43,5,30,2424.64,5657.5,0.1695,958.72,0.18,1018.35,223.94,Express,6899.8,Debit Card,3,Delivered,4.0,No,2021,4,Q2,Sunday
286,286,ORD100788,2021-04-25,2021-04-26,CUST10075,Amit Iyer,30,Female,Corporate,South,Tamil Nadu,Madurai,PROD4114,Hawkins Storage,Kitchen,Storage,Hawkins,11658.63,2,0,0.0,23317.26,0.1874,4368.55,0.18,4197.11,306.34,Same Day,27820.71,Credit Card,1,Delivered,4.0,Yes,2021,4,Q2,Sunday
287,287,ORD100875,2021-04-26,2021-04-29,CUST10253,Rohan Chopra,62,Male,Consumer,South,Kerala,Calicut,PROD8533,Local Publishers Cooking,Books,Cooking,Local Publishers,1161.02,2,5,116.1,2205.93,0.4097,903.78,0.12,264.71,248.35,Express,2718.99,Net Banking,3,Delivered,5.0,Yes,2021,4,Q2,Monday
288,288,ORD100567,2021-04-26,2021-04-29,CUST10047,Pooja Gupta,51,Male,Consumer,East,Odisha,Cuttack,PROD2139,Dell Smartwatches,Electronics,Smartwatches,Dell,1628.63,2,20,651.45,2605.81,0.0759,197.89,0.18,469.05,57.05,Standard,3131.9,Debit Card,3,Delivered,4.5,No,2021,4,Q2,Monday
